Mes,Saldo Anterior,Bono Mensual,Interés,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
267,102784.0,0.0,740.0,-932.0,-104.0,102488.0
268,102488.0,0.0,738.0,0.0,-103.0,103123.0
269,103123.0,0.0,742.0,0.0,-104.0,103761.0
270,103761.0,0.0,747.0,-941.0,-105.0,103462.0
271,103462.0,0.0,745.0,0.0,-104.0,104103.0
272,104103.0,0.0,750.0,0.0,-105.0,104748.0
273,104748.0,0.0,754.0,-950.0,-106.0,104446.0
274,104446.0,0.0,752.0,0.0,-105.0,105093.0
275,105093.0,0.0,757.0,0.0,-106.0,105744.0
276,105744.0,0.0,761.0,-959.0,-107.0,105439.0
277,105439.0,0.0,759.0,0.0,-106.0,106092.0
278,106092.0,0.0,764.0,0.0,-107.0,106749.0
279,106749.0,0.0,769.0,-968.0,-108.0,106442.0
280,106442.0,0.0,766.0,0.0,-107.0,107101.0
281,107101.0,0.0,771.0,0.0,-108.0,107764.0
282,107764.0,0.0,776.0,-977.0,-109.0,107454.0
283,107454.0,0.0,774.0,0.0,-108.0,108120.0
284,108120.0,0.0,778.0,0.0,-109.0,108789.0
285,108789.0,0.0,783.0,-986.0,-110.0,108476.0
286,108476.0,0.0,781.0,0.0,-109.0,109148.0
287,109148.0,0.0,786.0,0.0,-110.0,109824.0
288,109824.0,0.0,791.0,-996.0,-111.0,109508.0
289,109508.0,0.0,788.0,0.0,-110.0,110186.0
290,110186.0,0.0,793.0,0.0,-111.0,110868.0
291,110868.0,0.0,798.0,-1005.0,-112.0,110549.0
292,110549.0,0.0,796.0,0.0,-111.0,111234.0
293,111234.0,0.0,801.0,0.0,-112.0,111923.0
294,111923.0,0.0,806.0,-1015.0,-113.0,111601.0
295,111601.0,0.0,804.0,0.0,-112.0,112293.0
296,112293.0,0.0,809.0,0.0,-113.0,112989.0
297,112989.0,0.0,814.0,-1024.0,-114.0,112665.0
298,112665.0,0.0,811.0,0.0,-113.0,113363.0
299,113363.0,0.0,816.0,0.0,-114.0,114065.0
300,114065.0,0.0,821.0,-1034.0,-115.0,113737.0
