Mes,Saldo Anterior,Aportación,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
179,160051.0,0.0,1280.0,0,0.0,-187.0,161144.0
180,161144.0,0.0,1289.0,0,-1682.0,-188.0,160563.0
181,160563.0,0.0,1285.0,0,0.0,-188.0,161660.0
182,161660.0,0.0,1293.0,0,0.0,-189.0,162764.0
183,162764.0,0.0,1302.0,0,-1699.0,-190.0,162177.0
184,162177.0,0.0,1297.0,0,0.0,-190.0,163284.0
185,163284.0,0.0,1306.0,0,0.0,-191.0,164399.0
186,164399.0,0.0,1315.0,0,-1716.0,-192.0,163806.0
187,163806.0,0.0,1310.0,0,0.0,-192.0,164924.0
188,164924.0,0.0,1319.0,0,0.0,-193.0,166050.0
189,166050.0,0.0,1328.0,0,-1734.0,-194.0,165450.0
190,165450.0,0.0,1324.0,0,0.0,-193.0,166581.0
191,166581.0,0.0,1333.0,0,0.0,-195.0,167719.0
192,167719.0,0.0,1342.0,0,-1751.0,-196.0,167114.0
193,167114.0,0.0,1337.0,0,0.0,-195.0,168256.0
194,168256.0,0.0,1346.0,0,0.0,-197.0,169405.0
195,169405.0,0.0,1355.0,0,-1769.0,-198.0,168793.0
196,168793.0,0.0,1350.0,0,0.0,-197.0,169946.0
197,169946.0,0.0,1360.0,0,0.0,-199.0,171107.0
198,171107.0,0.0,1369.0,0,-1786.0,-200.0,170490.0
199,170490.0,0.0,1364.0,0,0.0,-199.0,171655.0
200,171655.0,0.0,1373.0,0,0.0,-201.0,172827.0
201,172827.0,0.0,1383.0,0,-1804.0,-202.0,172204.0
202,172204.0,0.0,1378.0,0,0.0,-201.0,173381.0
203,173381.0,0.0,1387.0,0,0.0,-203.0,174565.0
204,174565.0,0.0,1397.0,0,-1822.0,-204.0,173936.0
205,173936.0,0.0,1391.0,0,0.0,-203.0,175124.0
206,175124.0,0.0,1401.0,0,0.0,-205.0,176320.0
207,176320.0,0.0,1411.0,0,-1841.0,-206.0,175684.0
208,175684.0,0.0,1405.0,0,0.0,-205.0,176884.0
209,176884.0,0.0,1415.0,0,0.0,-207.0,178092.0
210,178092.0,0.0,1425.0,0,-1859.0,-208.0,177450.0
211,177450.0,0.0,1420.0,0,0.0,-207.0,178663.0
212,178663.0,0.0,1429.0,0,0.0,-209.0,179883.0
213,179883.0,0.0,1439.0,0,-1878.0,-210.0,179234.0
214,179234.0,0.0,1434.0,0,0.0,-210.0,180458.0
215,180458.0,0.0,1444.0,0,0.0,-211.0,181691.0
216,181691.0,0.0,1454.0,0,-1897.0,-212.0,181036.0
217,181036.0,0.0,1448.0,0,0.0,-212.0,182272.0
218,182272.0,0.0,1458.0,0,0.0,-213.0,183517.0
219,183517.0,0.0,1468.0,0,-1916.0,-215.0,182854.0
220,182854.0,0.0,1463.0,0,0.0,-214.0,184103.0
221,184103.0,0.0,1473.0,0,0.0,-215.0,185361.0
222,185361.0,0.0,1483.0,0,-1935.0,-217.0,184692.0
223,184692.0,0.0,1478.0,0,0.0,-216.0,185954.0
224,185954.0,0.0,1488.0,0,0.0,-217.0,187225.0
225,187225.0,0.0,1498.0,0,-1955.0,-219.0,186549.0
226,186549.0,0.0,1492.0,0,0.0,-218.0,187823.0
227,187823.0,0.0,1503.0,0,0.0,-220.0,189106.0
228,189106.0,0.0,1513.0,0,-1974.0,-221.0,188424.0
229,188424.0,0.0,1507.0,0,0.0,-220.0,189711.0
230,189711.0,0.0,1518.0,0,0.0,-222.0,191007.0
231,191007.0,0.0,1528.0,0,-1994.0,-223.0,190318.0
232,190318.0,0.0,1523.0,0,0.0,-223.0,191618.0
233,191618.0,0.0,1533.0,0,0.0,-224.0,192927.0
234,192927.0,0.0,1543.0,0,-2014.0,-226.0,192230.0
235,192230.0,0.0,1538.0,0,0.0,-225.0,193543.0
236,193543.0,0.0,1548.0,0,0.0,-226.0,194865.0
237,194865.0,0.0,1559.0,0,-2034.0,-228.0,194162.0
238,194162.0,0.0,1553.0,0,0.0,-227.0,195488.0
239,195488.0,0.0,1564.0,0,0.0,-229.0,196823.0
240,196823.0,0.0,1575.0,0,-2055.0,-230.0,196113.0
241,196113.0,0.0,1569.0,0,0.0,-229.0,197453.0
242,197453.0,0.0,1580.0,0,0.0,-231.0,198802.0
243,198802.0,0.0,1590.0,0,-2075.0,-232.0,198085.0
244,198085.0,0.0,1585.0,0,0.0,-232.0,199438.0
245,199438.0,0.0,1596.0,0,0.0,-233.0,200801.0
246,200801.0,0.0,1606.0,0,-2096.0,-235.0,200076.0
247,200076.0,0.0,1601.0,0,0.0,-234.0,201443.0
248,201443.0,0.0,1612.0,0,0.0,-236.0,202819.0
249,202819.0,0.0,1623.0,0,-2117.0,-237.0,202088.0
250,202088.0,0.0,1617.0,0,0.0,-236.0,203469.0
251,203469.0,0.0,1628.0,0,0.0,-238.0,204859.0
252,204859.0,0.0,1639.0,0,-2139.0,-240.0,204119.0
253,204119.0,0.0,1633.0,0,0.0,-239.0,205513.0
254,205513.0,0.0,1644.0,0,0.0,-240.0,206917.0
255,206917.0,0.0,1655.0,0,-2160.0,-242.0,206170.0
256,206170.0,0.0,1649.0,0,0.0,-241.0,207578.0
257,207578.0,0.0,1661.0,0,0.0,-243.0,208996.0
258,208996.0,0.0,1672.0,0,-2182.0,-244.0,208242.0
259,208242.0,0.0,1666.0,0,0.0,-243.0,209665.0
260,209665.0,0.0,1677.0,0,0.0,-245.0,211097.0
261,211097.0,0.0,1689.0,0,-2204.0,-247.0,210335.0
262,210335.0,0.0,1683.0,0,0.0,-246.0,211772.0
263,211772.0,0.0,1694.0,0,0.0,-248.0,213218.0
264,213218.0,0.0,1706.0,0,-2226.0,-249.0,212449.0
265,212449.0,0.0,1700.0,0,0.0,-248.0,213901.0
266,213901.0,0.0,1711.0,0,0.0,-250.0,215362.0
267,215362.0,0.0,1723.0,0,-2248.0,-252.0,214585.0
268,214585.0,0.0,1717.0,0,0.0,-251.0,216051.0
269,216051.0,0.0,1728.0,0,0.0,-253.0,217526.0
270,217526.0,0.0,1740.0,0,-2271.0,-254.0,216741.0
271,216741.0,0.0,1734.0,0,0.0,-253.0,218222.0
272,218222.0,0.0,1746.0,0,0.0,-255.0,219713.0
273,219713.0,0.0,1758.0,0,-2294.0,-257.0,218920.0
274,218920.0,0.0,1751.0,0,0.0,-256.0,220415.0
275,220415.0,0.0,1763.0,0,0.0,-258.0,221920.0
276,221920.0,0.0,1775.0,0,-2317.0,-259.0,221119.0
277,221119.0,0.0,1769.0,0,0.0,-259.0,222629.0
278,222629.0,0.0,1781.0,0,0.0,-260.0,224150.0
279,224150.0,0.0,1793.0,0,-2340.0,-262.0,223341.0
280,223341.0,0.0,1787.0,0,0.0,-261.0,224867.0
281,224867.0,0.0,1799.0,0,0.0,-263.0,226403.0
282,226403.0,0.0,1811.0,0,-2364.0,-265.0,225585.0
283,225585.0,0.0,1805.0,0,0.0,-264.0,227126.0
284,227126.0,0.0,1817.0,0,0.0,-266.0,228677.0
285,228677.0,0.0,1829.0,0,-2387.0,-267.0,227852.0
286,227852.0,0.0,1823.0,0,0.0,-266.0,229409.0
287,229409.0,0.0,1835.0,0,0.0,-268.0,230976.0
288,230976.0,0.0,1848.0,0,-2411.0,-270.0,230143.0
289,230143.0,0.0,1841.0,0,0.0,-269.0,231715.0
290,231715.0,0.0,1854.0,0,0.0,-271.0,233298.0
291,233298.0,0.0,1866.0,0,-2436.0,-273.0,232455.0
292,232455.0,0.0,1860.0,0,0.0,-272.0,234043.0
293,234043.0,0.0,1872.0,0,0.0,-274.0,235641.0
294,235641.0,0.0,1885.0,0,-2460.0,-276.0,234790.0
295,234790.0,0.0,1878.0,0,0.0,-275.0,236393.0
296,236393.0,0.0,1891.0,0,0.0,-276.0,238008.0
297,238008.0,0.0,1904.0,0,-2485.0,-278.0,237149.0
298,237149.0,0.0,1897.0,0,0.0,-277.0,238769.0
299,238769.0,0.0,1910.0,0,0.0,-279.0,240400.0
300,240400.0,0.0,1923.0,0,-2510.0,-281.0,239532.0
