Mes,Saldo Anterior,Aportación,Bono,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
166,1682586.3762293987,9416.57931349177,0,13536.0,-236.0,0,-1978.0,1703324.9555428904
167,1703324.9555428904,9416.57931349177,0,13702.0,-236.0,0,-2002.0,1724205.534856382
168,1724205.534856382,9416.57931349177,0,13869.0,-236.0,0,-2027.0,1745228.1141698738
169,1745228.1141698738,9416.57931349177,0,14037.0,-247.0,0,-2051.0,1766383.6934833655
170,1766383.6934833655,9886.46662123501,0,14210.0,-247.0,0,-2077.0,1788156.1601046005
171,1788156.1601046005,9886.46662123501,0,14384.0,-247.0,0,-2102.0,1810077.6267258355
172,1810077.6267258355,9886.46662123501,0,14560.0,-247.0,0,-2128.0,1832149.0933470705
173,1832149.0933470705,9886.46662123501,0,14736.0,-247.0,0,-2154.0,1854370.5599683055
174,1854370.5599683055,9886.46662123501,0,14914.0,-247.0,0,-2180.0,1876744.0265895405
175,1876744.0265895405,9886.46662123501,0,15093.0,-247.0,0,-2206.0,1899270.4932107755
176,1899270.4932107755,9886.46662123501,0,15273.0,-247.0,0,-2232.0,1921950.9598320106
177,1921950.9598320106,9886.46662123501,0,15455.0,-247.0,0,-2259.0,1944786.4264532456
178,1944786.4264532456,9886.46662123501,0,15637.0,-247.0,0,-2285.0,1967777.8930744806
179,1967777.8930744806,9886.46662123501,0,15821.0,-247.0,0,-2312.0,1990926.3596957156
180,1990926.3596957156,9886.46662123501,0,16007.0,-247.0,0,-2339.0,2014233.8263169506
181,2014233.8263169506,9886.46662123501,0,16193.0,-260.0,0,-2366.0,2037687.2929381856
182,2037687.2929381856,10379.801305634637,0,16385.0,-260.0,0,-2394.0,2061798.0942438203
183,2061798.0942438203,10379.801305634637,0,16577.0,-260.0,0,-2423.0,2086071.895549455
184,2086071.895549455,10379.801305634637,0,16772.0,-260.0,0,-2451.0,2110512.6968550896
185,2110512.6968550896,10379.801305634637,0,16967.0,-260.0,0,-2480.0,2135119.498160724
186,2135119.498160724,10379.801305634637,0,17164.0,-260.0,0,-2508.0,2159895.2994663585
187,2159895.2994663585,10379.801305634637,0,17362.0,-260.0,0,-2537.0,2184840.100771993
188,2184840.100771993,10379.801305634637,0,17562.0,-260.0,0,-2567.0,2209954.9020776274
189,2209954.9020776274,10379.801305634637,0,17763.0,-260.0,0,-2596.0,2235241.703383262
190,2235241.703383262,10379.801305634637,0,17965.0,-260.0,0,-2625.0,2260701.5046888962
191,2260701.5046888962,10379.801305634637,0,18169.0,-260.0,0,-2655.0,2286335.3059945307
192,2286335.3059945307,10379.801305634637,0,18374.0,-260.0,0,-2685.0,2312144.107300165
193,2312144.107300165,10379.801305634637,0,18580.0,-273.0,0,-2715.0,2338115.9086057995
194,2338115.9086057995,10897.753390785807,0,18792.0,-273.0,0,-2746.0,2364786.6619965853
195,2364786.6619965853,10897.753390785807,0,19005.0,-273.0,0,-2778.0,2391638.415387371
196,2391638.415387371,10897.753390785807,0,19220.0,-273.0,0,-2809.0,2418674.168778157
197,2418674.168778157,10897.753390785807,0,19437.0,-273.0,0,-2841.0,2445894.9221689426
198,2445894.9221689426,10897.753390785807,0,19654.0,-273.0,0,-2872.0,2473301.6755597284
199,2473301.6755597284,10897.753390785807,0,19874.0,-273.0,0,-2904.0,2500896.428950514
200,2500896.428950514,10897.753390785807,0,20094.0,-273.0,0,-2937.0,2528678.1823413
201,2528678.1823413,10897.753390785807,0,20317.0,-273.0,0,-2969.0,2556650.9357320857
202,2556650.9357320857,10897.753390785807,0,20540.0,-273.0,0,-3002.0,2584813.6891228715
203,2584813.6891228715,10897.753390785807,0,20766.0,-273.0,0,-3035.0,2613169.4425136573
204,2613169.4425136573,10897.753390785807,0,20993.0,-273.0,0,-3068.0,2641719.195904443
205,2641719.195904443,10897.753390785807,0,21221.0,-286.0,0,-3101.0,2670450.949295229
206,2670450.949295229,11441.551284986019,0,21455.0,-286.0,0,-3136.0,2699925.500580215
207,2699925.500580215,11441.551284986019,0,21691.0,-286.0,0,-3170.0,2729602.051865201
208,2729602.051865201,11441.551284986019,0,21928.0,-286.0,0,-3205.0,2759480.603150187
209,2759480.603150187,11441.551284986019,0,22167.0,-286.0,0,-3240.0,2789563.154435173
210,2789563.154435173,11441.551284986019,0,22408.0,-286.0,0,-3275.0,2819851.705720159
211,2819851.705720159,11441.551284986019,0,22650.0,-286.0,0,-3310.0,2850347.2570051453
212,2850347.2570051453,11441.551284986019,0,22894.0,-286.0,0,-3346.0,2881050.8082901314
213,2881050.8082901314,11441.551284986019,0,23140.0,-286.0,0,-3382.0,2911964.3595751175
214,2911964.3595751175,11441.551284986019,0,23387.0,-286.0,0,-3418.0,2943088.9108601036
215,2943088.9108601036,11441.551284986019,0,23636.0,-286.0,0,-3454.0,2974426.4621450896
216,2974426.4621450896,11441.551284986019,0,23887.0,-286.0,0,-3491.0,3005978.0134300757
217,3005978.0134300757,11441.551284986019,0,24139.0,-301.0,0,-3528.0,3037729.564715062
218,3037729.564715062,12012.484694106823,0,24398.0,-301.0,0,-3566.0,3070273.049409169
219,3070273.049409169,12012.484694106823,0,24658.0,-301.0,0,-3604.0,3103038.5341032757
220,3103038.5341032757,12012.484694106823,0,24920.0,-301.0,0,-3642.0,3136028.0187973827
221,3136028.0187973827,12012.484694106823,0,25184.0,-301.0,0,-3681.0,3169242.5034914897
222,3169242.5034914897,12012.484694106823,0,25450.0,-301.0,0,-3719.0,3202684.9881855967
223,3202684.9881855967,12012.484694106823,0,25718.0,-301.0,0,-3759.0,3236355.4728797036
224,3236355.4728797036,12012.484694106823,0,25987.0,-301.0,0,-3798.0,3270255.9575738106
225,3270255.9575738106,12012.484694106823,0,26258.0,-301.0,0,-3838.0,3304387.4422679176
226,3304387.4422679176,12012.484694106823,0,26531.0,-301.0,0,-3877.0,3338752.9269620245
227,3338752.9269620245,12012.484694106823,0,26806.0,-301.0,0,-3918.0,3373352.4116561315
228,3373352.4116561315,12012.484694106823,0,27083.0,-301.0,0,-3958.0,3408188.8963502385
229,3408188.8963502385,12012.484694106823,0,27362.0,-316.0,0,-3999.0,3443248.3810443454
230,3443248.3810443454,12611.907680342754,0,27647.0,-316.0,0,-4041.0,3479150.2887246883
231,3479150.2887246883,12611.907680342754,0,27934.0,-316.0,0,-4082.0,3515298.1964050313
232,3515298.1964050313,12611.907680342754,0,28223.0,-316.0,0,-4125.0,3551692.104085374
233,3551692.104085374,12611.907680342754,0,28514.0,-316.0,0,-4167.0,3588335.011765717
